value,ignore,type,minVersion,maxVersion,en,de,ru
doc-color-cmyk,FALSE,menu,,,File > Document Color Mode > CMYK Color,Datei > Dokumentfarbmodus > CMYK-Farbe,Файл > Цветовой режим документа > CMYK
doc-color-rgb,FALSE,menu,,,File > Document Color Mode > RGB Color,Datei > Dokumentfarbmodus > RGB-Farbe,Файл > Цветовой режим документа > RGB
File Info,FALSE,menu,,,File > File Info...,Datei > Dateiinformationen …,Файл > Сведения о файле...
Print,FALSE,menu,,,File > Print...,Datei > Drucken …,Файл > Печать...
quit,FALSE,menu,,,File > Exit,Datei > Illustrator beenden,Файл > Выход
undo,FALSE,menu,,,Edit > Undo,Bearbeiten > Rückgängig,Редактирование > Отменить
redo,FALSE,menu,,,Edit > Redo,Bearbeiten > Wiederholen,Редактирование > Повторить
cut,FALSE,menu,,,Edit > Cut,Bearbeiten > Ausschneiden,Редактирование > Вырезать
copy,FALSE,menu,,,Edit > Copy,Bearbeiten > Kopieren,Редактирование > Копировать
paste,FALSE,menu,,,Edit > Paste,Bearbeiten > Einfügen,Редактирование > Вставить
pasteFront,FALSE,menu,,,Edit > Paste in Front,Bearbeiten > Davor einfügen,Редактирование > Вставить на передний план
pasteBack,FALSE,menu,,,Edit > Paste in Back,Bearbeiten > Dahinter einfügen,Редактирование > Вставить на задний план
pasteInPlace,FALSE,menu,,,Edit > Paste in Place,Bearbeiten > An Originalposition einfügen,Редактирование > Вставить на то же место
pasteInAllArtboard,FALSE,menu,,,Edit > Paste on All Artboards,Bearbeiten > In alle Zeichenflächen einfügen,Редактирование > Вставить на все монтажные области
pasteWithoutFormatting,FALSE,menu,25.3,,Edit > Paste without Formatting,Bearbeiten > Ohne Formatierung einfügen,Редактирование > Вставить без форматирования
clear,FALSE,menu,,,Edit > Clear,Bearbeiten > Löschen,Редактирование > Очистить
Find and Replace,FALSE,menu,,,Edit > Find & Replace...,Bearbeiten > Suchen und ersetzen …,Редактирование > Найти и заменить...
Find Next,FALSE,menu,,,Edit > Find Next,Bearbeiten > Weitersuchen,Редактирование > Найти следующий
Auto Spell Check,FALSE,menu,24,,Edit > Spelling > Auto Spell Check,Bearbeiten > Rechtschreibung > Automatische Rechtschreibprüfung,Редактирование > Орфография > Автоматическая проверка орфографии
Check Spelling,FALSE,menu,24,,Edit > Spelling > Check Spelling...,Bearbeiten > Rechtschreibung > Rechtschreibprüfung …,Редактирование > Орфография > Проверка орфографии…
Edit Custom Dictionary...,FALSE,menu,,,Edit > Edit Custom Dictionary...,Bearbeiten > Eigenes Wörterbuch bearbeiten …,Редактирование > Редактировать заказной словарь...
Recolor Art Dialog,FALSE,menu,,,Edit > Edit Colors > Recolor Artwork...,Bearbeiten > Farben bearbeiten > Bildmaterial neu färben …,Редактирование > Редактировать цвета > Перекрасить графический объект...
Adjust3,FALSE,menu,,,Edit > Edit Colors > Adjust Color Balance...,Bearbeiten > Farben bearbeiten > Farbbalance einstellen …,Редактирование > Редактировать цвета > Коррекция цветового баланса...
Colors3,FALSE,menu,,,Edit > Edit Colors > Blend Front to Back,Bearbeiten > Farben bearbeiten > Vorne -> Hinten angleichen,Редактирование > Редактировать цвета > Переход от верхнего к нижнему
Colors4,FALSE,menu,,,Edit > Edit Colors > Blend Horizontally,Bearbeiten > Farben bearbeiten > Horizontal angleichen,Редактирование > Редактировать цвета > Переход по горизонтали
Colors5,FALSE,menu,,,Edit > Edit Colors > Blend Vertically,Bearbeiten > Farben bearbeiten > Vertikal angleichen,Редактирование > Редактировать цвета > Переход по вертикали
Colors8,FALSE,menu,,,Edit > Edit Colors > Convert to CMYK,Bearbeiten > Farben bearbeiten > In CMYK konvertieren,Редактирование > Редактировать цвета > Преобразовать в CMYK
Colors7,FALSE,menu,,,Edit > Edit Colors > Convert to Grayscale,Bearbeiten > Farben bearbeiten > In Graustufen konvertieren,Редактирование > Редактировать цвета > Преобразовать в градации серого
Colors9,FALSE,menu,,,Edit > Edit Colors > Convert to RGB,Bearbeiten > Farben bearbeiten > In RGB konvertieren,Редактирование > Редактировать цвета > Преобразовать в RGB
Colors6,FALSE,menu,,,Edit > Edit Colors > Invert Colors,Bearbeiten > Farben bearbeiten > Farben invertieren,Редактирование > Редактировать цвета > Негатив
Overprint2,FALSE,menu,,,Edit > Edit Colors > Overprint Black...,Bearbeiten > Farben bearbeiten > Schwarz überdrucken …,Редактирование > Редактировать цвета > Наложение черного цвета...
Saturate3,FALSE,menu,,,Edit > Edit Colors > Saturate...,Bearbeiten > Farben bearbeiten > Sättigung erhöhen …,Редактирование > Редактировать цвета > Изменить насыщенность...
EditOriginal Menu Item,FALSE,menu,,,Edit > Edit Original,Bearbeiten > Original bearbeiten,Редактирование > Редактировать оригинал
Transparency Presets,FALSE,menu,,,Edit > Transparency Flattener Presets...,Bearbeiten > Transparenzreduzierungsvorgaben …,Редактирование > Стили обработки прозрачности...
Print Presets,FALSE,menu,,,Edit > Print Presets...,Bearbeiten > Druckvorgaben …,Редактирование > Стили печати...
PDF Presets,FALSE,menu,,,Edit > Adobe PDF Presets...,Bearbeiten > Adobe PDF-Vorgaben …,Редактирование > Стили преобразования в Adobe PDF...
PerspectiveGridPresets,FALSE,menu,,,Edit > Perspective Grid Presets...,Bearbeiten > Vorgaben für Perspektivenraster …,Редактирование > Стили сетки перспективы...
color,FALSE,menu,,,Edit > Color Settings...,Bearbeiten > Farbeinstellungen …,Редактирование > Настройка цветов...
assignprofile,FALSE,menu,,,Edit > Assign Profile...,Bearbeiten > Profil zuweisen …,Редактирование > Назначить профиль...
KBSC Menu Item,FALSE,menu,,,Edit > Keyboard Shortcuts...,Bearbeiten > Tastaturbefehle …,Редактирование > Комбинации клавиш...
SWFPresets,FALSE,menu,22,25.9,Edit > SWF Presets...,,
transformagain,FALSE,menu,,,Object > Transform > Transform Again,Objekt > Transformieren > Erneut transformieren,Объект > Трансформировать > Повторить трансформирование
transformmove,FALSE,menu,,,Object > Transform > Move...,Objekt > Transformieren > Verschieben …,Объект > Трансформировать > Перемещение...
transformrotate,FALSE,menu,,,Object > Transform > Rotate...,Objekt > Transformieren > Drehen …,Объект > Трансформировать > Поворот...
transformreflect,FALSE,menu,,,Object > Transform > Reflect...,Objekt > Transformieren > Spiegeln …,Объект > Трансформировать > Зеркальное отражение...
transformscale,FALSE,menu,,,Object > Transform > Scale...,Objekt > Transformieren > Skalieren …,Объект > Трансформировать > Масштабирование...
transformshear,FALSE,menu,,,Object > Transform > Shear...,Objekt > Transformieren > Verbiegen …,Объект > Трансформировать > Наклон...
Transform v23,FALSE,menu,,,Object > Transform Each...,Objekt > Transformieren > Einzeln transformieren …,Объект > Трансформировать > Трансформировать каждый...
AI Reset Bounding Box,FALSE,menu,,,Object > Transform > Reset Bounding Box,Objekt > Transform > Begrenzungsrahmen zurücksetzen,Объект > Трансформировать > Восстановить настройки по умолчанию ограничительной рамки
sendToFront,FALSE,menu,,,Object > Arrange > Bring to Front,Objekt > Anordnen > In den Vordergrund,Объект > Монтаж > На передний план
sendForward,FALSE,menu,,,Object > Arrange > Bring Forward,Objekt > Anordnen > Schrittweise nach vorne,Объект > Монтаж > На задний план
sendBackward,FALSE,menu,,,Object > Arrange > Send Backward,Objekt > Anordnen > Schrittweise nach hinten,Объект > Монтаж > Переложить вперед
sendToBack,FALSE,menu,,,Object > Arrange > Send to Back,Objekt > Anordnen > In den Hintergrund,Объект > Монтаж > Переложить назад
Selection Hat 2,FALSE,menu,,,Object > Arrange > Send to Current Layer,Objekt > Anordnen > In aktuelle Ebene verschieben,Объект > Монтаж > Отправить на текущий слой
Horizontal Align Left,FALSE,menu,24,,Object > Align > Horizontal Align Left,Objekt > Ausrichten > Horizontal links ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, влево"
Horizontal Align Center,FALSE,menu,24,,Object > Align > Horizontal Align Center,Objekt > Ausrichten > Horizontal zentriert ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, центр"
Horizontal Align Right,FALSE,menu,24,,Object > Align > Horizontal Align Right,Objekt > Ausrichten > Horizontal rechts ausrichten,"Объект > Выравнивание > Горизонтальное выравнивание, вправо"
Vertical Align Top,FALSE,menu,24,,Object > Align > Vertical Align Top,Objekt > Ausrichten > Vertikal oben ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, вверх"
Vertical Align Center,FALSE,menu,24,,Object > Align > Vertical Align Center,Objekt > Ausrichten > Vertikal zentriert ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, центр"
Vertical Align Bottom,FALSE,menu,24,,Object > Align > Vertical Align Bottom,Objekt > Ausrichten > Vertikal unten ausrichten,"Объект > Выравнивание > Вертикальное выравнивание, вниз"
Vertical Distribute Top,FALSE,menu,27,,Object > Distribute > Vertical Distribute Top,,
Vertical Distribute Center,FALSE,menu,27,,Object > Distribute > Vertical Distribute Center,,
Vertical Distribute Bottom,FALSE,menu,27,,Object > Distribute > Vertical Distribute Bottom,,
Horizontal Distribute Left,FALSE,menu,27,,Object > Distribute > Horizontal Distribute Left,,
Horizontal Distribute Center,FALSE,menu,27,,Object > Distribute > Horizontal Distribute Center,,
Horizontal Distribute Right,FALSE,menu,27,,Object > Distribute > Horizontal Distribute Right,,
group,FALSE,menu,,,Object > Group,Objekt > Gruppieren,Объект > Сгруппировать
ungroup,FALSE,menu,,,Object > Ungroup,Objekt > Gruppierung aufheben,Объект > Разгруппировать
lock,FALSE,menu,,,Object > Lock > Selection,Objekt > Sperren > Auswahl,Объект > Закрепить > Выделенное
Selection Hat 5,FALSE,menu,,,Object > Lock > All Artwork Above,Objekt > Sperren > Sämtliches Bildmaterial darüber,Объект > Закрепить > Все объекты выше
Selection Hat 7,FALSE,menu,,,Object > Lock > Other Layers,Objekt > Sperren > Andere Ebenen,Объект > Закрепить > Остальные слои
unlockAll,FALSE,menu,,,Object > Unlock All,Objekt > Alle entsperren,Объект > Освободить все
hide,FALSE,menu,,,Object > Hide > Selection,Objekt > Ausblenden > Auswahl,Объект > Скрыть > Выделенное
Selection Hat 4,FALSE,menu,,,Object > Hide > All Artwork Above,Objekt > Ausblenden > Sämtliches Bildmaterial darüber,Объект > Скрыть > Все объекты выше
Selection Hat 6,FALSE,menu,,,Object > Hide > Other Layers,Objekt > Ausblenden > Andere Ebenen,Объект > Скрыть > Остальные слои
showAll,FALSE,menu,,,Object > Show All,Objekt > Alles einblenden,Объект > Показать все
Crop Image,FALSE,menu,23,,Object > Crop Image,Objekt > Bild zuschneiden,Объект > Обрезать изображение
Rasterize 8 menu item,FALSE,menu,,,Object > Rasterize...,Objekt > In Pixelbild umwandeln …,Объект > Растрировать...
make mesh,FALSE,menu,,,Object > Create Gradient Mesh...,Objekt > Verlaufsgitter erstellen …,Объект > Создать сетчатый градиент...
AI Object Mosaic Plug-in4,FALSE,menu,,,Object > Create Object Mosaic...,Objekt > Objektmosaik erstellen …,Объект > Создать фрагментацию...
TrimMark v25,FALSE,menu,,,Object > Create Trim Marks...,Objekt > Schnittmarken erstellen,Объект > Создать метки обреза
Flatten Transparency,FALSE,menu,,,Object > Flatten Transparency...,Objekt > Transparenz reduzieren …,Объект > Обработка прозрачности...
Make Pixel Perfect,FALSE,menu,,,Object > Make Pixel Perfect,Objekt > Pixelgenaue Darstellung anwenden,Объект > Коррекция на уровне пикселов
AISlice Make Slice,FALSE,menu,,,Object > Slice > Make,Objekt > Slice > Erstellen,Объект > Фрагменты > Создать
AISlice Release Slice,FALSE,menu,,,Object > Slice > Release,Objekt > Slice > Zurückwandeln,Объект > Фрагменты > Расформировать
AISlice Create from Guides,FALSE,menu,,,Object > Slice > Create from Guides,Objekt > Slice > Aus Hilfslinien erstellen,Объект > Фрагменты > Создать по направляющим
AISlice Create from Selection,FALSE,menu,,,Object > Slice > Create from Selection,Objekt > Slice > Aus Auswahl erstellen,Объект > Фрагменты > Создать по выделенной области
AISlice Duplicate,FALSE,menu,,,Object > Slice > Duplicate Slice,Objekt > Slice > Slice duplizieren,Объект > Фрагменты > Создать дубликат фрагмента
AISlice Combine,FALSE,menu,,,Object > Slice > Combine Slices,Objekt > Slice > Slices kombinieren,Объект > Фрагменты > Объединить фрагменты
AISlice Divide,FALSE,menu,,,Object > Slice > Divide Slices...,Objekt > Slice > Slices unterteilen …,Объект > Фрагменты > Разделить фрагменты...
AISlice Delete All Slices,FALSE,menu,,,Object > Slice > Delete All,Objekt > Slice > Alle löschen,Объект > Фрагменты > Удалить все
AISlice Slice Options,FALSE,menu,,,Object > Slice > Slice Options...,Objekt > Slice > Slice-Optionen …,Объект > Фрагменты > Параметры фрагмента...
AISlice Clip to Artboard,FALSE,menu,,,Object > Slice > Clip to Artboard,Objekt > Slice > Ganze Zeichenfläche exportieren,Объект > Фрагменты > Обрезать по монтажной области
Expand3,FALSE,menu,,,Object > Expand...,Objekt > Umwandeln …,Объект > Разобрать…
expandStyle,FALSE,menu,,,Object > Expand Appearance,Objekt > Aussehen umwandeln,Объект > Разобрать оформление
join,FALSE,menu,,,Object > Path > Join,Objekt > Pfad > Zusammenfügen,Объект > Контур > Соединить
average,FALSE,menu,,,Object > Path > Average...,Objekt > Pfad > Durchschnitt berechnen …,Объект > Контур > Усреднить…
OffsetPath v22,FALSE,menu,,,Object > Path > Outline Stroke,Objekt > Pfad > Konturlinie,Объект > Контур > Преобразовать обводку в кривые
OffsetPath v23,FALSE,menu,,,Object > Path > Offset Path...,Objekt > Pfad > Pfad verschieben …,Объект > Контур > Создать параллельный контур…
Reverse Path Direction,FALSE,menu,21,,Object > Path > Reverse Path Direction,Objekt > Pfad > Pfadrichtung umkehren,Объект > Контур > Изменение направления контура
simplify menu item,FALSE,menu,,,Object > Path > Simplify...,Objekt > Pfad > Vereinfachen …,Объект > Контур > Упростить…
Add Anchor Points2,FALSE,menu,,,Object > Path > Add Anchor Points,Objekt > Pfad > Ankerpunkte hinzufügen,Объект > Контур > Добавить опорные точки
Remove Anchor Points menu,FALSE,menu,,,Object > Path > Remove Anchor Points,Objekt > Pfad > Ankerpunkte entfernen,Объект > Контур > Удалить опорные точки
Knife Tool2,FALSE,menu,,,Object > Path > Divide Objects Below,Objekt > Pfad > Darunter liegende Objekte aufteilen,Объект > Контур > Разделить нижние объекты
Rows and Columns....,FALSE,menu,,,Object > Path > Split Into Grid...,Objekt > Pfad > In Raster teilen …,Объект > Контур > Создать сетку...
cleanup menu item,FALSE,menu,,,Object > Path > Clean Up...,Objekt > Pfad > Aufräumen …,Объект > Контур > Вычистить…
Convert to Shape,FALSE,menu,18,,Object > Shape > Convert to Shapes,Objekt > Form > In Form umwandeln,Объект > Фигура > Преобразовать в фигуры
Expand Shape,FALSE,menu,18,,Object > Shape > Expand Shapes,Objekt > Form > Form umwandeln,Объект > Фигура > Разобрать фигуру
Adobe Make Pattern,FALSE,menu,,,Object > Pattern > Make,Objekt > Muster > Erstellen,Объект > Узор > Создать
Adobe Edit Pattern,FALSE,menu,,,Object > Pattern > Edit Pattern,Objekt > Muster > Muster bearbeiten,Объект > Узор > Редактировать узор
Adobe Pattern Tile Color,FALSE,menu,,,Object > Pattern > Tile Edge Color...,Objekt > Muster > Farbe für Musterelement-Kante,Объект > Узор > Цвет края элемента...
Partial Rearrange Make,FALSE,menu,27,,Object > Intertwine > Make,,
Partial Rearrange Release,FALSE,menu,27,,Object > Intertwine > Release,,
Partial Rearrange Edit,FALSE,menu,27,,Object > Intertwine > Edit,,
Make Radial Repeat,FALSE,menu,25.1,,Object > Repeat > Make Radial,Objekt > Wiederholen > Radial,Объект > Повторить > Радиальный
Make Grid Repeat,FALSE,menu,25.1,,Object > Repeat > Make Grid,Objekt > Wiederholen > Raster,Объект > Повторить > Сетка
Make Symmetry Repeat,FALSE,menu,25.1,,Object > Repeat > Make Symmetry,Objekt > Wiederholen > Spiegeln,Объект > Повторить > Зеркально
Release Repeat Art,FALSE,menu,25.1,,Object > Repeat > Release,Objekt > Wiederholen > Zurückwandeln,Объект > Повторить > Освободить
Repeat Art Options,FALSE,menu,25.1,,Object > Repeat > Repeat Art Options...,Objekt > Wiederholen > Optionen …,Объект > Повторить > Параметры…
Path Blend Make,FALSE,menu,,,Object > Blend > Make,Objekt > Angleichen > Erstellen,Объект > Переход > Создать
Path Blend Release,FALSE,menu,,,Object > Blend > Release,Objekt > Angleichen > Zurückwandeln,Объект > Переход > Отменить
Path Blend Options,FALSE,menu,,,Object > Blend > Blend Options...,Objekt > Angleichen > Angleichung-Optionen …,Объект > Переход > Параметры перехода…
Path Blend Expand,FALSE,menu,,,Object > Blend > Expand,Objekt > Angleichen > Umwandeln,Объект > Переход > Разобрать
Path Blend Replace Spine,FALSE,menu,,,Object > Blend > Replace Spine,Objekt > Angleichen > Achse ersetzen,Объект > Переход > Заменить траекторию
Path Blend Reverse Spine,FALSE,menu,,,Object > Blend > Reverse Spine,Objekt > Angleichen > Achse umkehren,Объект > Переход > Изменить направление
Path Blend Reverse Stack,FALSE,menu,,,Object > Blend > Reverse Front to Back,Objekt > Angleichen > Farbrichtung umkehren,Объект > Переход > Изменить порядок
Make Warp,FALSE,menu,,,Object > Envelope Distort > Make with Warp...,Objekt > Verzerrungshülle > Mit Verkrümmung erstellen …,Объект > Искажение с помощью оболочки > Деформация...
Create Envelope Grid,FALSE,menu,,,Object > Envelope Distort > Make with Mesh...,Objekt > Verzerrungshülle > Mit Gitter erstellen …,Объект > Искажение с помощью оболочки > По сетке...
Make Envelope,FALSE,menu,,,Object > Envelope Distort > Make with Top Object,Objekt > Verzerrungshülle > Mit oberstem Objekt erstellen,Объект > Искажение с помощью оболочки > По форме верхнего объекта
Release Envelope,FALSE,menu,,,Object > Envelope Distort > Release,Objekt > Verzerrungshülle > Zurückwandeln,Объект > Искажение с помощью оболочки > Отделить
Envelope Options,FALSE,menu,,,Object > Envelope Distort > Envelope Options...,Objekt > Verzerrungshülle > Hüllen-Optionen …,Объект > Искажение с помощью оболочки > Параметры оболочки...
Expand Envelope,FALSE,menu,,,Object > Envelope Distort > Expand,Objekt > Verzerrungshülle > Umwandeln,Объект > Искажение с помощью оболочки > Разобрать
Edit Envelope Contents,FALSE,menu,,,Object > Envelope Distort > Edit Contents,Objekt > Verzerrungshülle > Inhalt bearbeiten,Объект > Искажение с помощью оболочки > Редактировать содержимое
Attach to Active Plane,FALSE,menu,,,Object > Perspective > Attach to Active Plane,Objekt > Perspektive > Aktiver Ebene anhängen,Объект > Перспектива > Прикрепить к активной плоскости
Release with Perspective,FALSE,menu,,,Object > Perspective > Release with Perspective,Objekt > Perspektive > Aus Perspektive freigeben,Объект > Перспектива > Открепить с сохранением перспективы
Show Object Grid Plane,FALSE,menu,,,Object > Perspective > Move Plane to Match Object,Objekt > Perspektive > Ebene an Objekt ausrichten,Объект > Перспектива > Переместить плоскость для подгонки по объекту
Edit Original Object,FALSE,menu,,,Object > Perspective > Edit Text,Objekt > Perspektive > Text bearbeiten,Объект > Перспектива > Редактировать текст
Make Planet X,FALSE,menu,,,Object > Live Paint > Make,Objekt > Interaktiv malen > Erstellen,Объект > Быстрая заливка > Создать
Marge Planet X,FALSE,menu,,,Object > Live Paint > Merge,Objekt > Interaktiv malen > Zusammenfügen,Объект > Быстрая заливка > Объединить
Release Planet X,FALSE,menu,,,Object > Live Paint > Release,Objekt > Interaktiv malen > Zurückwandeln,Объект > Быстрая заливка > Расформировать
Planet X Options,FALSE,menu,,,Object > Live Paint > Gap Options...,Objekt > Interaktiv malen > Lückenoptionen …,Объект > Быстрая заливка > Параметры зазоров…
Expand Planet X,FALSE,menu,,,Object > Live Paint > Expand,Objekt > Interaktiv malen > Umwandeln,Объект > Быстрая заливка > Разобрать
Make Image Tracing,FALSE,menu,,,Object > Image Trace > Make,Objekt > Bildnachzeichner > Erstellen,Объект > Трассировка изображения > Создать
Make and Expand Image Tracing,FALSE,menu,,,Object > Image Trace > Make and Expand,Objekt > Bildnachzeichner > Erstellen und umwandeln,Объект > Трассировка изображения > Создать и разобрать
Release Image Tracing,FALSE,menu,,,Object > Image Trace > Release,Objekt > Bildnachzeichner > Zurückwandeln,Объект > Трассировка изображения > Расформировать
Expand Image Tracing,FALSE,menu,,,Object > Image Trace > Expand,Objekt > Bildnachzeichner > Umwandeln,Объект > Трассировка изображения > Разобрать
Make Text Wrap,FALSE,menu,,,Object > Text Wrap > Make,Objekt > Textumfluss > Erstellen,Объект > Обтекание текстом > Создать
Release Text Wrap,FALSE,menu,,,Object > Text Wrap > Release,Objekt > Textumfluss > Zurückwandeln,Объект > Обтекание текстом > Освободить
Text Wrap Options...,FALSE,menu,,,Object > Text Wrap > Text Wrap Options...,Objekt > Textumfluss > Textumflussoptionen …,Объект > Обтекание текстом > Параметры обтекания текстом...
makeMask,FALSE,menu,,,Object > Clipping Mask > Make,Objekt > Schnittmaske > Erstellen,Объект > Обтравочная маска > Создать
releaseMask,FALSE,menu,,,Object > Clipping Mask > Release,Objekt > Schnittmaske > Zurückwandeln,Объект > Обтравочная маска > Отменить
editMask,FALSE,menu,,,Object > Clipping Mask > Edit Mask,Objekt > Schnittmaske > Maske bearbeiten,Объект > Обтравочная маска > Редактировать маску
compoundPath,FALSE,menu,,,Object > Compound Path > Make,Objekt > Zusammengesetzter Pfad > Erstellen,Объект > Составной контур > Создать
noCompoundPath,FALSE,menu,,,Object > Compound Path > Release,Objekt > Zusammengesetzter Pfad > Zurückwandeln,Объект > Составной контур > Отменить
setCropMarks,FALSE,menu,,,Object > Artboards > Convert to Artboards,Objekt > Zeichenflächen > In Zeichenflächen konvertieren,Объект > Монтажные области > Преобразовать в монтажные области
ReArrange Artboards,FALSE,menu,,,Object > Artboards > Rearrange All Artboards,Objekt > Zeichenflächen > Alle Zeichenflächen neu anordnen,Объект > Монтажные области > Переупорядочить все монт. обл.
Fit Artboard to artwork bounds,FALSE,menu,,,Object > Artboards > Fit to Artwork Bounds,Objekt > Zeichenflächen > An Bildmaterialbegrenzungen anpassen,Объект > Монтажные области > Подогнать по границам иллюстрации
Fit Artboard to selected Art,FALSE,menu,,,Object > Artboards > Fit to Selected Art,Objekt > Zeichenflächen > An ausgewählte Grafik anpassen,Объект > Монтажные области > Подогнать по границам выделенной иллюстрации
setGraphStyle,FALSE,menu,,,Object > Graph > Type...,Objekt > Diagramm > Art …,Объект > Диаграмма > Тип…
editGraphData,FALSE,menu,,,Object > Graph > Data...,Objekt > Diagramm > Daten …,Объект > Диаграмма > Данные…
graphDesigns,FALSE,menu,,,Object > Graph > Design...,Objekt > Diagramm > Designs …,Объект > Диаграмма > Оформление…
setBarDesign,FALSE,menu,,,Object > Graph > Column...,Objekt > Diagramm > Balken …,Объект > Диаграмма > Столбец…
setIconDesign,FALSE,menu,,,Object > Graph > Marker...,Objekt > Diagramm > Punkte …,Объект > Диаграмма > Маркер…
Browse Typekit Fonts Menu IllustratorUI,FALSE,menu,17.1,,Type > More from Adobe Fonts...,Schrift > Mehr bei Adobe Fonts …,Текст > Найти больше в Adobe Fonts...
alternate glyph palette plugin,FALSE,menu,,,Type > Glyphs,Schrift > Glyphen,Текст > Глифы
area-type-options,FALSE,menu,,,Type > Area Type Options...,Schrift > Flächentextoptionen …,Текст > Параметры текста в области…
Rainbow,FALSE,menu,,,Type > Type on a Path > Rainbow,Schrift > Pfadtext > Regenbogen,Текст > Текст по контуру > Радуга
Skew,FALSE,menu,,,Type > Type on a Path > Skew,Schrift > Pfadtext > Asymmetrie,Текст > Текст по контуру > Наклон
3D ribbon,FALSE,menu,,,Type > Type on a Path > 3D Ribbon,Schrift > Pfadtext > 3D-Band,Текст > Текст по контуру > Каскад
Stair Step,FALSE,menu,,,Type > Type on a Path > Stair Step,Schrift > Pfadtext > Treppenstufe,Текст > Текст по контуру > Лесенка
Gravity,FALSE,menu,,,Type > Type on a Path > Gravity,Schrift > Pfadtext > Schwerkraft,Текст > Текст по контуру > Гравитация
typeOnPathOptions,FALSE,menu,,,Type > Type on a Path > Type on a Path Options...,Schrift > Pfadtext > Pfadtextoptionen …,Текст > Текст по контуру > Параметры текста по контуру...
updateLegacyTOP,FALSE,menu,,,Type > Type on a Path > Update Legacy Type on a Path,Schrift > Pfadtext > Alten Pfadtext aktualisieren,Текст > Текст по контуру > Обновить прежнюю версию текста по контуру
threadTextCreate,FALSE,menu,,,Type > Threaded Text > Create,Schrift > Verketteter Text > Erstellen,Текст > Связанные текстовые блоки > Связать
releaseThreadedTextSelection,FALSE,menu,,,Type > Threaded Text > Release Selection,Schrift > Verketteter Text > Auswahl zurückwandeln,Текст > Связанные текстовые блоки > Исключить выделенные
removeThreading,FALSE,menu,,,Type > Threaded Text > Remove Threading,Schrift > Verketteter Text > Verkettung entfernen,Текст > Связанные текстовые блоки > Удалить связь текстовых блоков
fitHeadline,FALSE,menu,,,Type > Fit Headline,Schrift > Überschrift einpassen,Текст > Разогнать заголовок
Adobe IllustratorUI Resolve Missing Font,FALSE,menu,,,Type > Resolve Missing Fonts...,Schrift > Fehlende Schriftarten auflösen …,Текст > Сопоставить отсутствующие шрифты...
Adobe Illustrator Find Font Menu Item,FALSE,menu,,,Type > Find/Replace Font...,Schrift > Schriftart suchen/ersetzen …,Текст > Найти/заменить шрифт...
UpperCase Change Case Item,FALSE,menu,,,Type > Change Case > UPPERCASE,Schrift > Groß-/Kleinschreibung ändern > GROSSBUCHSTABEN,Текст > Изменить регистр > ВСЕ ПРОПИСНЫЕ
LowerCase Change Case Item,FALSE,menu,,,Type > Change Case > lowercase,Schrift > Groß-/Kleinschreibung ändern > kleinbuchstaben,Текст > Изменить регистр > все строчные
