English,Translation
Object > Envelope Distort > Expand,Objekt > Verzerrungshülle > Umwandeln
Object > Envelope Distort > Edit Contents,Objekt > Verzerrungshülle > Inhalt bearbeiten
Object > Perspective > Attach to Active Plane,Objekt > Perspektive > Aktiver Ebene anhängen
Object > Perspective > Release with Perspective,Objekt > Perspektive > Aus Perspektive freigeben
Object > Perspective > Move Plane to Match Object,Objekt > Perspektive > Ebene an Objekt ausrichten
Object > Perspective > Edit Text,Objekt > Perspektive > Text bearbeiten
Object > Live Paint > Make,Objekt > Interaktiv malen > Erstellen
Object > Live Paint > Merge,Objekt > Interaktiv malen > Zusammenfügen
Object > Live Paint > Release,Objekt > Interaktiv malen > Zurückwandeln
Object > Live Paint > Gap Options...,Objekt > Interaktiv malen > Lückenoptionen …
Object > Live Paint > Expand,Objekt > Interaktiv malen > Umwandeln
Object > Image Trace > Make,Objekt > Bildnachzeichner > Erstellen
Object > Image Trace > Make and Expand,Objekt > Bildnachzeichner > Erstellen und umwandeln
Object > Image Trace > Release,Objekt > Bildnachzeichner > Zurückwandeln
Object > Image Trace > Expand,Objekt > Bildnachzeichner > Umwandeln
Object > Text Wrap > Make,Objekt > Textumfluss > Erstellen
Object > Text Wrap > Release,Objekt > Textumfluss > Zurückwandeln
Object > Text Wrap > Text Wrap Options...,Objekt > Textumfluss > Textumflussoptionen …
Object > Clipping Mask > Make,Objekt > Schnittmaske > Erstellen
Object > Clipping Mask > Release,Objekt > Schnittmaske > Zurückwandeln
Object > Clipping Mask > Edit Mask,Objekt > Schnittmaske > Maske bearbeiten
Object > Compound Path > Make,Objekt > Zusammengesetzter Pfad > Erstellen
Object > Compound Path > Release,Objekt > Zusammengesetzter Pfad > Zurückwandeln
Object > Artboards > Convert to Artboards,Objekt > Zeichenflächen > In Zeichenflächen konvertieren
Object > Artboards > Rearrange All Artboards,Objekt > Zeichenflächen > Alle Zeichenflächen neu anordnen
Object > Artboards > Fit to Artwork Bounds,Objekt > Zeichenflächen > An Bildmaterialbegrenzungen anpassen
Object > Artboards > Fit to Selected Art,Objekt > Zeichenflächen > An ausgewählte Grafik anpassen
Object > Graph > Type...,Objekt > Diagramm > Art …
Object > Graph > Data...,Objekt > Diagramm > Daten …
Object > Graph > Design...,Objekt > Diagramm > Designs …
Object > Graph > Column...,Objekt > Diagramm > Balken …
Object > Graph > Marker...,Objekt > Diagramm > Punkte …
Type > More from Adobe Fonts...,Schrift > Mehr bei Adobe Fonts …
Type > Glyphs,Schrift > Glyphen
Type > Area Type Options...,Schrift > Flächentextoptionen …
Type > Type on a Path > Rainbow,Schrift > Pfadtext > Regenbogen
Type > Type on a Path > Skew,Schrift > Pfadtext > Asymmetrie
Type > Type on a Path > 3D Ribbon,Schrift > Pfadtext > 3D-Band
Type > Type on a Path > Stair Step,Schrift > Pfadtext > Treppenstufe
Type > Type on a Path > Gravity,Schrift > Pfadtext > Schwerkraft
Type > Type on a Path > Type on a Path Options...,Schrift > Pfadtext > Pfadtextoptionen …
Type > Type on a Path > Update Legacy Type on a Path,Schrift > Pfadtext > Alten Pfadtext aktualisieren
Type > Threaded Text > Create,Schrift > Verketteter Text > Erstellen
Type > Threaded Text > Release Selection,Schrift > Verketteter Text > Auswahl zurückwandeln
Type > Threaded Text > Remove Threading,Schrift > Verketteter Text > Verkettung entfernen
Type > Fit Headline,Schrift > Überschrift einpassen
Type > Resolve Missing Fonts...,Schrift > Fehlende Schriftarten auflösen …
Type > Find/Replace Font...,Schrift > Schriftart suchen/ersetzen …
Type > Change Case > UPPERCASE,Schrift > Groß-/Kleinschreibung ändern > GROSSBUCHSTABEN
Type > Change Case > lowercase,Schrift > Groß-/Kleinschreibung ändern > kleinbuchstaben
Type > Change Case > Title Case,Schrift > Groß-/Kleinschreibung ändern > Erster Buchstabe Im Wort Groß
Type > Change Case > Sentence case,Schrift > Groß-/Kleinschreibung ändern > Erster buchstabe im satz groß
Type > Smart Punctuation...,Schrift > Satz-/Sonderzeichen …
Type > Create Outlines,Schrift > In Pfade umwandeln
Type > Optical Margin Alignment,Schrift > Optischer Randausgleich
Type > Show Hidden Characters,Schrift > Verborgene Zeichen einblenden / ausblenden
Type > Type Orientation > Horizontal,Schrift > Textausrichtung > Horizontal
Type > Type Orientation > Vertical,Schrift > Textausrichtung > Vertikal
Select > All,Auswahl > Alles auswählen
Select > All on Active Artboard,Auswahl > Alles auf der aktiven Zeichenfläche
Select > Deselect,Auswahl > Auswahl aufheben
Select > Reselect,Auswahl > Erneut auswählen
Select > Inverse,Auswahl > Auswahl umkehren
Select > Next Object Above,Auswahl > Nächstes Objekt darüber
Select > Next Object Below,Auswahl > Nächstes Objekt darunter
Select > Same > Appearance,Auswahl > Gleich > Aussehen
Select > Same > Appearance Attribute,Auswahl > Gleich > Aussehensattribute
Select > Same > Blending Mode,Auswahl > Gleich > Füllmethode
Select > Same > Fill & Stroke,Auswahl > Gleich > Fläche und Kontur
Select > Same > Fill Color,Auswahl > Gleich > Flächenfarbe
Select > Same > Opacity,Auswahl > Gleich > Deckkraft
Select > Same > Stroke Color,Auswahl > Gleich > Konturfarbe
Select > Same > Stroke Weight,Auswahl > Gleich > Konturstärke
Select > Same > Graphic Style,Auswahl > Gleich > Grafikstil
Select > Same > Shape,Auswahl > Gleich > Form
Select > Same > Symbol Instance,Auswahl > Gleich > Symbolinstanz
Select > Same > Link Block Series,Auswahl > Gleich > Verknüpfungsblockreihen
Select > Same > Font Family,Auswahl > Gleich > Schriftfamilie
Select > Same > Font Family & Style,Auswahl > Gleich > Schriftfamilie und -schnitt
"Select > Same > Font Family, Style & Size","Auswahl > Gleich > Schriftfamilie, -schnitt und -grad"
Select > Same > Font Size,Auswahl > Gleich > Schriftgrad
Select > Same > Text Fill Color,Auswahl > Gleich > Textflächenfarbe
Select > Same > Text Stroke Color,Auswahl > Gleich > Textkonturfarbe
Select > Same > Text Fill & Stroke Color,Auswahl > Gleich > Textflächen- und -konturfarbe
Select > Object > All on Same Layers,Auswahl > Objekt > Alles auf denselben Ebenen
Select > Object > Direction Handles,Auswahl > Objekt > Richtungsgriffe
Select > Object > Bristle Brush Strokes,Auswahl > Objekt > Borstenpinselstriche
Select > Object > Brush Strokes,Auswahl > Objekt > Pinselkonturen
Select > Object > Clipping Masks,Auswahl > Objekt > Schnittmasken
Select > Object > Stray Points,Auswahl > Objekt > Einzelne Ankerpunkte
Select > Object > All Text Objects,Auswahl > Objekt > Alle Textobjekte
Select > Object > Point Text Objects,Auswahl > Objekt > Punkttextobjekte
Select > Object > Area Text Objects,Auswahl > Objekt > Flächenttextobjekte
Select > Start/Stop Global Edit,Auswahl > Globale Bearbeitung starten/anhalten
Select > Save Selection...,Auswahl > Auswahl speichern …
Select > Edit Selection...,Auswahl > Auswahl bearbeiten …
Effect > Apply Last Effect,Effekt > Letzten Effekt anwenden
Effect > Last Effect,Effekt > Letzter Effekt
Effect > Document Raster Effects Settings...,Effekt > Dokument-Rastereffekt-Einstellungen …
Effect > 3D and Materials > Extrude & Bevel...,Effekt > 3D und Materialien > Extrudieren und abgeflachte Kante …
Effect > 3D and Materials > Revolve...,Effekt > 3D und Materialien > Kreiseln …
Effect > 3D and Materials > Inflate...,Effekt > 3D und Materialien > Aufblasen …
Effect > 3D and Materials > Rotate...,Effekt > 3D und Materialien > Drehen …
Effect > 3D and Materials > Materials...,Effekt > 3D und Materialien > Materialien …
Effect > 3D and Materials > 3D (Classic) > Extrude & Bevel (Classic)...,Effekt > 3D (klassisch) > Extrudieren und abgeflachte Kante (klassisch) …
Effect > 3D and Materials > 3D (Classic) > Revolve (Classic)...,Effekt > 3D (klassisch) > Kreiseln (klassisch) …
Effect > 3D and Materials > 3D (Classic) > Rotate (Classic)...,Effekt > 3D (klassisch) > Drehen (klassisch) …
Effect > Convert to Shape > Rectangle...,Effekt > In Form umwandeln > Rechteck …
Effect > Convert to Shape > Rounded Rectangle...,Effekt > In Form umwandeln > Abgerundetes Rechteck …
Effect > Convert to Shape > Ellipse...,Effekt > In Form umwandeln > Ellipse …
Effect > Crop Marks,Effekt > Schnittmarken
Effect > Distort & Transform > Free Distort...,Effekt > Verzerrungs- und Transformationsfilter > Frei verzerren …
Effect > Distort & Transform > Pucker & Bloat...,Effekt > Verzerrungs- und Transformationsfilter > Zusammenziehen und aufblasen …
Effect > Distort & Transform > Roughen...,Effekt > Verzerrungs- und Transformationsfilter > Aufrauen …
Effect > Distort & Transform > Transform...,Effekt > Verzerrungs- und Transformationsfilter > Transformieren …
Effect > Distort & Transform > Tweak...,Effekt > Verzerrungs- und Transformationsfilter > Tweak …
Effect > Distort & Transform > Twist...,Effekt > Verzerrungs- und Transformationsfilter > Wirbel …
Effect > Distort & Transform > Zig Zag...,Effekt > Verzerrungs- und Transformationsfilter > Zickzack …
Effect > Path > Offset Path...,Effekt > Pfad > Pfad verschieben …
Effect > Path > Outline Object,Effekt > Pfad > Kontur nachzeichnen
Effect > Path > Outline Stroke,Effekt > Pfad > Konturlinie
Effect > Pathfinder > Add,Effekt > Pathfinder > Hinzufügen
Effect > Pathfinder > Intersect,Effekt > Pathfinder > Schnittmenge bilden
Effect > Pathfinder > Exclude,Effekt > Pathfinder > Schnittmenge entfernen
Effect > Pathfinder > Subtract,Effekt > Pathfinder > Subtrahieren
Effect > Pathfinder > Minus Back,Effekt > Pathfinder > Hinteres Objekt abziehen
Effect > Pathfinder > Divide,Effekt > Pathfinder > Unterteilen
Effect > Pathfinder > Trim,Effekt > Pathfinder > Überlappungsbereich entfernen
Effect > Pathfinder > Merge,Effekt > Pathfinder > Verdeckte Fläche entfernen
Effect > Pathfinder > Crop,Effekt > Pathfinder > Schnittmengenfläche
Effect > Pathfinder > Outline,Effekt > Pathfinder > Kontur aufteilen
Effect > Pathfinder > Hard Mix,Effekt > Pathfinder > Hart mischen
Effect > Pathfinder > Soft Mix...,Effekt > Pathfinder > Weich mischen …
Effect > Pathfinder > Trap...,Effekt > Pathfinder > Überfüllen …
Effect > Rasterize...,Effekt > In Pixelbild umwandeln …
Effect > Stylize > Drop Shadow...,Effekt > Stilisierungsfilter > Schlagschatten …
Effect > Stylize > Feather...,Effekt > Stilisierungsfilter > Weiche Kante …
Effect > Stylize > Inner Glow...,Effekt > Stilisierungsfilter > Schein nach innen …
Effect > Stylize > outer Glow...,Effekt > Stilisierungsfilter > Schein nach außen …
Effect > Stylize > Round Corners...,Effekt > Stilisierungsfilter > Ecken abrunden …
Effect > Stylize > Scribble...,Effekt > Stilisierungsfilter > Scribble …
Effect > SVG Filters > Apply SVG Filter...,Effekt > SVG-Filter > SVG-Filter anwenden …
Effect > SVG Filters > Import SVG Filter...,Effekt > SVG-Filter > SVG-Filter importieren …
Effect > Warp > Arc...,Effekt > Verkrümmungsfilter > Bogen …
Effect > Warp > Arc Lower...,Effekt > Verkrümmungsfilter > Bogen unten …
Effect > Warp > Arc Upper...,Effekt > Verkrümmungsfilter > Bogen oben …
Effect > Warp > Arch...,Effekt > Verkrümmungsfilter > Torbogen …
Effect > Warp > Bulge...,Effekt > Verkrümmungsfilter > Wulst …
Effect > Warp > Shell Lower...,Effekt > Verkrümmungsfilter > Muschel unten …
Effect > Warp > Shell Upper...,Effekt > Verkrümmungsfilter > Muschel oben …
Effect > Warp > Flag...,Effekt > Verkrümmungsfilter > Flagge …
Effect > Warp > Wave...,Effekt > Verkrümmungsfilter > Schwingungen …
Effect > Warp > Fish...,Effekt > Verkrümmungsfilter > Fisch …
Effect > Warp > Rise...,Effekt > Verkrümmungsfilter > Ansteigend …
Effect > Warp > Fisheye...,Effekt > Verkrümmungsfilter > Fischauge …
Effect > Warp > Inflate...,Effekt > Verkrümmungsfilter > Aufblasen …
Effect > Warp > Squeeze...,Effekt > Verkrümmungsfilter > Stauchen …
Effect > Warp > Twist...,Effekt > Verkrümmungsfilter > Wirbel …
Effect > Effect Gallery...,Effekt > Effekte-Galerie …
Effect > Artistic > Colored Pencil...,Effekt > Kunstfilter > Buntstiftschraffur …
Effect > Artistic > Cutout...,Effekt > Kunstfilter > Farbpapier-Collage …
Effect > Artistic > Dry Brush...,Effekt > Kunstfilter > Grobe Malerei …
Effect > Artistic > Film Grain...,Effekt > Kunstfilter > Körnung & Aufhellung …
Effect > Artistic > Fresco...,Effekt > Kunstfilter > Fresko …
Effect > Artistic > Neon Glow...,Effekt > Kunstfilter > Neonschein …
Effect > Artistic > Paint Daubs...,Effekt > Kunstfilter > Ölfarbe getupft …
Effect > Artistic > Palette Knife...,Effekt > Kunstfilter > Malmesser …
Effect > Artistic > Plastic Wrap...,Effekt > Kunstfilter > Kunststofffolie …
Effect > Artistic > Poster Edges...,Effekt > Kunstfilter > Tontrennung & Kantenbetonung …
