English,Translation
Delete Commands?\nDeleted commands will longer work in any workflows you previously created where they were used as a step.\n\n,"Удалить команду?\nУдаленные команды больше не будут работать в любых созданных наборах, где они использовались\n\n"
Confirm Commands To Delete,Подтвердить удаление команд
Command couldn't be deleted.,Команда не может быть удалена
Total commands deleted:\n,Удалено команд:
There are no commands to delete.,Нет команд для удаления
"Search for commands, actions, and loaded scripts.","Поиск команд, операций и загруженных скриптов"
Cancel,Отмена
Workflow:,Набор:
Search For Commands,Поиск команд
Double-click a command to add it as a workflow step below.,"Нажмите дважды на команду, чтобы добавить ее как шаг набора"
Workflow Steps,Шаги набора
Workflows will run in order from top to bottom.,Набор выполняется сверху вниз
Move Up,Наверх
Move Down,Вниз
Delete,Удалить
Save Workflow As,Сохранить набор как
Action:,Операция:
Error loading script:\n,Ошибка загрузки скрипта:\n
Error loading file:\n,Ошибка загрузки файла:\n
Error writing file:\n,Ошибка записи файла:\n
File > New...,Файл > Новый...
File > New from Template...,Файл > Новый из шаблона...
File > Open...,Файл > Открыть...
File > Browse in Bridge...,Файл > Обзор в Bridge...
File > Close,Файл > Закрыть
File > Save,Файл > Сохранить
File > Save As...,Файл > Сохранить как...
File > Save a Copy...,Файл > Сохранить копию...
File > Save as Template...,Файл > Сохранить как шаблон...
File > Save Selected Slices...,Файл > Файл > Сохранить выделенные фрагменты...
File > Revert,Файл > Восстановить
File > Search Adobe Stock,Файл > Поиск в Adobe Stock...
File > Place...,Файл > Поместить...
File > Export > Export For Screens...,Файл > Экспорт для экранов...
File > Export > Export As...,Файл > Экспортировать как...
File > Export > Save for Web (Legacy)...,Файл > Сохранить для браузеров...
File > Export Selection...,Файл > Экспортировать выделенные элементы...
File > Package,Файл > Упаковать...
File > Scripts > Other Script...,Файл > Сценарии > Другой сценарий...
File > Document Setup...,Файл > Параметры документа...
File > Document Color Mode > CMYK Color,Файл > Цветовой режим документа > CMYK
File > Document Color Mode > RGB Color,Файл > Цветовой режим документа > RGB
File > File Info...,Файл > Сведения о файле...
File > Print...,Файл > Печать...
File > Exit,Файл > Выход
Edit > Undo,Редактирование > Отменить
Edit > Redo,Редактирование > Повторить
Edit > Cut,Редактирование > Вырезать
Edit > Copy,Редактирование > Копировать
Edit > Paste,Редактирование > Вставить
Edit > Paste in Front,Редактирование > Вставить на передний план
Edit > Paste in Back,Редактирование > Вставить на задний план
Edit > Paste in Place,Редактирование > Вставить на то же место
Edit > Paste on All Artboards,Редактирование > Вставить на все монтажные области
Edit > Paste without Formatting,Редактирование > Вставить без форматирования
Edit > Clear,Редактирование > Очистить
Edit > Find & Replace...,Редактирование > Найти и заменить...
Edit > Find Next,Редактирование > Найти следующий
Edit > Spelling > Auto Spell Check,Редактирование > Орфография > Автоматическая проверка орфографии
Edit > Spelling > Check Spelling...,Редактирование > Орфография > Проверка орфографии…
Edit > Edit Custom Dictionary...,Редактирование > Редактировать заказной словарь...
Edit > Edit Colors > Recolor Artwork...,Редактирование > Редактировать цвета > Перекрасить графический объект...
Edit > Edit Colors > Adjust Color Balance...,Редактирование > Редактировать цвета > Коррекция цветового баланса...
Edit > Edit Colors > Blend Front to Back,Редактирование > Редактировать цвета > Переход от верхнего к нижнему
Edit > Edit Colors > Blend Horizontally,Редактирование > Редактировать цвета > Переход по горизонтали
Edit > Edit Colors > Blend Vertically,Редактирование > Редактировать цвета > Переход по вертикали
Edit > Edit Colors > Convert to CMYK,Редактирование > Редактировать цвета > Преобразовать в CMYK
Edit > Edit Colors > Convert to Grayscale,Редактирование > Редактировать цвета > Преобразовать в градации серого
Edit > Edit Colors > Convert to RGB,Редактирование > Редактировать цвета > Преобразовать в RGB
Edit > Edit Colors > Invert Colors,Редактирование > Редактировать цвета > Негатив
Edit > Edit Colors > Overprint Black...,Редактирование > Редактировать цвета > Наложение черного цвета...
Edit > Edit Colors > Saturate...,Редактирование > Редактировать цвета > Изменить насыщенность...
Edit > Edit Original,Редактирование > Редактировать оригинал
Edit > Transparency Flattener Presets...,Редактирование > Стили обработки прозрачности...
Edit > Print Presets...,Редактирование > Стили печати...
Edit > Adobe PDF Presets...,Редактирование > Стили преобразования в Adobe PDF...
Edit > Perspective Grid Presets...,Редактирование > Стили сетки перспективы...
Edit > Color Settings...,Редактирование > Настройка цветов...
Edit > Assign Profile...,Редактирование > Назначить профиль...
Edit > Keyboard Shortcuts...,Редактирование > Комбинации клавиш...
Object > Transform > Transform Again,Объект > Трансформировать > Повторить трансформирование
Object > Transform > Move...,Объект > Трансформировать > Перемещение...
Object > Transform > Rotate...,Объект > Трансформировать > Поворот...
Object > Transform > Reflect...,Объект > Трансформировать > Зеркальное отражение...
Object > Transform > Scale...,Объект > Трансформировать > Масштабирование...
Object > Transform > Shear...,Объект > Трансформировать > Наклон...
Object > Transform Each...,Объект > Трансформировать > Трансформировать каждый...
Object > Transform > Reset Bounding Box,Объект > Трансформировать > Восстановить настройки по умолчанию ограничительной рамки
Object > Arrange > Bring to Front,Объект > Монтаж > На передний план
Object > Arrange > Bring Forward,Объект > Монтаж > На задний план
Object > Arrange > Send Backward,Объект > Монтаж > Переложить вперед
Object > Arrange > Send to Back,Объект > Монтаж > Переложить назад
Object > Arrange > Send to Current Layer,Объект > Монтаж > Отправить на текущий слой
Object > Align > Horizontal Align Left,"Объект > Выравнивание > Горизонтальное выравнивание, влево"
Object > Align > Horizontal Align Center,"Объект > Выравнивание > Горизонтальное выравнивание, центр"
Object > Align > Horizontal Align Right,"Объект > Выравнивание > Горизонтальное выравнивание, вправо"
Object > Align > Vertical Align Top,"Объект > Выравнивание > Вертикальное выравнивание, вверх"
Object > Align > Vertical Align Center,"Объект > Выравнивание > Вертикальное выравнивание, центр"
Object > Align > Vertical Align Bottom,"Объект > Выравнивание > Вертикальное выравнивание, вниз"
Object > Group,Объект > Сгруппировать
Object > Ungroup,Объект > Разгруппировать
Object > Lock > Selection,Объект > Закрепить > Выделенное
Object > Lock > All Artwork Above,Объект > Закрепить > Все объекты выше
Object > Lock > Other Layers,Объект > Закрепить > Остальные слои
Object > Unlock All,Объект > Освободить все
Object > Hide > Selection,Объект > Скрыть > Выделенное
Object > Hide > All Artwork Above,Объект > Скрыть > Все объекты выше
Object > Hide > Other Layers,Объект > Скрыть > Остальные слои
Object > Show All,Объект > Показать все
Object > Crop Image,Объект > Обрезать изображение
Object > Rasterize...,Объект > Растрировать...
Object > Create Gradient Mesh...,Объект > Создать сетчатый градиент...
Object > Create Object Mosaic...,Объект > Создать фрагментацию...
Object > Create Trim Marks...,Объект > Создать метки обреза
Object > Flatten Transparency...,Объект > Обработка прозрачности...
Object > Make Pixel Perfect,Объект > Коррекция на уровне пикселов
Object > Slice > Make,Объект > Фрагменты > Создать
Object > Slice > Release,Объект > Фрагменты > Расформировать
Object > Slice > Create from Guides,Объект > Фрагменты > Создать по направляющим
Object > Slice > Create from Selection,Объект > Фрагменты > Создать по выделенной области
Object > Slice > Duplicate Slice,Объект > Фрагменты > Создать дубликат фрагмента
Object > Slice > Combine Slices,Объект > Фрагменты > Объединить фрагменты
Object > Slice > Divide Slices...,Объект > Фрагменты > Разделить фрагменты...
Object > Slice > Delete All,Объект > Фрагменты > Удалить все
Object > Slice > Slice Options...,Объект > Фрагменты > Параметры фрагмента...
Object > Slice > Clip to Artboard,Объект > Фрагменты > Обрезать по монтажной области
Object > Expand...,Объект > Разобрать…
Object > Expand Appearance,Объект > Разобрать оформление
Object > Path > Join,Объект > Контур > Соединить
Object > Path > Average...,Объект > Контур > Усреднить…
Object > Path > Outline Stroke,Объект > Контур > Преобразовать обводку в кривые
Object > Path > Offset Path...,Объект > Контур > Создать параллельный контур…
Object > Path > Reverse Path Direction,Объект > Контур > Изменение направления контура
Object > Path > Simplify...,Объект > Контур > Упростить…
Object > Path > Add Anchor Points,Объект > Контур > Добавить опорные точки
Object > Path > Remove Anchor Points,Объект > Контур > Удалить опорные точки
Object > Path > Divide Objects Below,Объект > Контур > Разделить нижние объекты
Object > Path > Split Into Grid...,Объект > Контур > Создать сетку...
Object > Path > Clean Up...,Объект > Контур > Вычистить…
Object > Shape > Convert to Shapes,Объект > Фигура > Преобразовать в фигуры
Object > Shape > Expand Shapes,Объект > Фигура > Разобрать фигуру
Object > Pattern > Make,Объект > Узор > Создать
Object > Pattern > Edit Pattern,Объект > Узор > Редактировать узор
Object > Pattern > Tile Edge Color...,Объект > Узор > Цвет края элемента...
Object > Repeat > Make Radial,Объект > Повторить > Радиальный
Object > Repeat > Make Grid,Объект > Повторить > Сетка
Object > Repeat > Make Symmetry,Объект > Повторить > Зеркально
Object > Repeat > Release,Объект > Повторить > Освободить
Object > Repeat > Repeat Art Options...,Объект > Повторить > Параметры…
Object > Blend > Make,Объект > Переход > Создать
Object > Blend > Release,Объект > Переход > Отменить
Object > Blend > Blend Options...,Объект > Переход > Параметры перехода…
Object > Blend > Expand,Объект > Переход > Разобрать
Object > Blend > Replace Spine,Объект > Переход > Заменить траекторию
Object > Blend > Reverse Spine,Объект > Переход > Изменить направление
Object > Blend > Reverse Front to Back,Объект > Переход > Изменить порядок
Object > Envelope Distort > Make with Warp...,Объект > Искажение с помощью оболочки > Деформация...
Object > Envelope Distort > Make with Mesh...,Объект > Искажение с помощью оболочки > По сетке...
Object > Envelope Distort > Make with Top Object,Объект > Искажение с помощью оболочки > По форме верхнего объекта
Object > Envelope Distort > Release,Объект > Искажение с помощью оболочки > Отделить
Object > Envelope Distort > Envelope Options...,Объект > Искажение с помощью оболочки > Параметры оболочки...
Object > Envelope Distort > Expand,Объект > Искажение с помощью оболочки > Разобрать
Object > Envelope Distort > Edit Contents,Объект > Искажение с помощью оболочки > Редактировать содержимое
Object > Perspective > Attach to Active Plane,Объект > Перспектива > Прикрепить к активной плоскости
Object > Perspective > Release with Perspective,Объект > Перспектива > Открепить с сохранением перспективы
Object > Perspective > Move Plane to Match Object,Объект > Перспектива > Переместить плоскость для подгонки по объекту
Object > Perspective > Edit Text,Объект > Перспектива > Редактировать текст
Object > Live Paint > Make,Объект > Быстрая заливка > Создать
Object > Live Paint > Merge,Объект > Быстрая заливка > Объединить
Object > Live Paint > Release,Объект > Быстрая заливка > Расформировать
Object > Live Paint > Gap Options...,Объект > Быстрая заливка > Параметры зазоров…
Object > Live Paint > Expand,Объект > Быстрая заливка > Разобрать
Object > Image Trace > Make,Объект > Трассировка изображения > Создать
Object > Image Trace > Make and Expand,Объект > Трассировка изображения > Создать и разобрать
Object > Image Trace > Release,Объект > Трассировка изображения > Расформировать
Object > Image Trace > Expand,Объект > Трассировка изображения > Разобрать
Object > Text Wrap > Make,Объект > Обтекание текстом > Создать
Object > Text Wrap > Release,Объект > Обтекание текстом > Освободить
Object > Text Wrap > Text Wrap Options...,Объект > Обтекание текстом > Параметры обтекания текстом...
Object > Clipping Mask > Make,Объект > Обтравочная маска > Создать
Object > Clipping Mask > Release,Объект > Обтравочная маска > Отменить
Object > Clipping Mask > Edit Mask,Объект > Обтравочная маска > Редактировать маску
Object > Compound Path > Make,Объект > Составной контур > Создать
Object > Compound Path > Release,Объект > Составной контур > Отменить
Object > Artboards > Convert to Artboards,Объект > Монтажные области > Преобразовать в монтажные области
Object > Artboards > Rearrange All Artboards,Объект > Монтажные области > Переупорядочить все монт. обл.
Object > Artboards > Fit to Artwork Bounds,Объект > Монтажные области > Подогнать по границам иллюстрации
Object > Artboards > Fit to Selected Art,Объект > Монтажные области > Подогнать по границам выделенной иллюстрации
Object > Graph > Type...,Объект > Диаграмма > Тип…
Object > Graph > Data...,Объект > Диаграмма > Данные…
Object > Graph > Design...,Объект > Диаграмма > Оформление…
Object > Graph > Column...,Объект > Диаграмма > Столбец…
Object > Graph > Marker...,Объект > Диаграмма > Маркер…
Type > More from Adobe Fonts...,Текст > Найти больше в Adobe Fonts...
Type > Glyphs,Текст > Глифы
Type > Area Type Options...,Текст > Параметры текста в области…
Type > Type on a Path > Rainbow,Текст > Текст по контуру > Радуга
Type > Type on a Path > Skew,Текст > Текст по контуру > Наклон
Type > Type on a Path > 3D Ribbon,Текст > Текст по контуру > Каскад
Type > Type on a Path > Stair Step,Текст > Текст по контуру > Лесенка
Type > Type on a Path > Gravity,Текст > Текст по контуру > Гравитация
Type > Type on a Path > Type on a Path Options...,Текст > Текст по контуру > Параметры текста по контуру...
Type > Type on a Path > Update Legacy Type on a Path,Текст > Текст по контуру > Обновить прежнюю версию текста по контуру
Type > Threaded Text > Create,Текст > Связанные текстовые блоки > Связать
Type > Threaded Text > Release Selection,Текст > Связанные текстовые блоки > Исключить выделенные
Type > Threaded Text > Remove Threading,Текст > Связанные текстовые блоки > Удалить связь текстовых блоков
Type > Fit Headline,Текст > Разогнать заголовок
Type > Resolve Missing Fonts...,Текст > Сопоставить отсутствующие шрифты...
Type > Find/Replace Font...,Текст > Найти/заменить шрифт...
Type > Change Case > UPPERCASE,Текст > Изменить регистр > ВСЕ ПРОПИСНЫЕ
Type > Change Case > lowercase,Текст > Изменить регистр > все строчные
Type > Change Case > Title Case,Текст > Изменить регистр > Прописная В Начале Каждого Слова
Type > Change Case > Sentence case,Текст > Изменить регистр > Прописная в начале предложения
Type > Smart Punctuation...,Текст > Типографская пунктуация...
Type > Create Outlines,Текст > Преобразовать в кривые
Type > Optical Margin Alignment,Текст > Визуальное выравнивание полей
Type > Show Hidden Characters,Текст > Показать скрытые символы
Type > Type Orientation > Horizontal,Текст > Ориентация текста > Горизонтальная
Type > Type Orientation > Vertical,Текст > Ориентация текста > Вертикальная
Select > All,Выделение > Все
Select > All on Active Artboard,Выделение > Все объекты в активной монтажной области
Select > Deselect,Выделение > Отменить выделение
Select > Reselect,Выделение > Выделить снова
Select > Inverse,Выделение > Инверсия
Select > Next Object Above,Выделение > Следующий объект сверху
Select > Next Object Below,Выделение > Следующий объект снизу
Select > Same > Appearance,Выделение > По общему признаку > Оформление
Select > Same > Appearance Attribute,Выделение > По общему признаку > Атрибуты оформления
Select > Same > Blending Mode,Выделение > По общему признаку > С одинаковым режимом наложения
Select > Same > Fill & Stroke,Выделение > По общему признаку > С одинаковыми заливкой и обводкой
Select > Same > Fill Color,Выделение > По общему признаку > С одинаковым цветом заливки
Select > Same > Opacity,Выделение > По общему признаку > С одинаковой непрозрачностью
Select > Same > Stroke Color,Выделение > По общему признаку > С одинаковым цветом обводки
Select > Same > Stroke Weight,Выделение > По общему признаку > С одинаковой толщиной обводки
Select > Same > Graphic Style,Выделение > По общему признаку > Стиль графики
Select > Same > Shape,Выделение > По общему признаку > Фигура
Select > Same > Symbol Instance,Выделение > По общему признаку > Одинаковые образцы символа
Select > Same > Link Block Series,Выделение > По общему признаку > Последовательность связанных блоков
Select > Same > Font Family,Выделение > По общему признаку > Семейство шрифтов
Select > Same > Font Family & Style,Выделение > По общему признаку > Семейство и стиль шрифтов
"Select > Same > Font Family, Style & Size","Выделение > По общему признаку > Семейство, стиль и размер шрифтов"
Select > Same > Font Size,Выделение > По общему признаку > Размер шрифта
Select > Same > Text Fill Color,Выделение > По общему признаку > Цвет заливки текста
Select > Same > Text Stroke Color,Выделение > По общему признаку > Цвет обводки текста
Select > Same > Text Fill & Stroke Color,Выделение > По общему признаку > Цвет заливки и обводки текста
Select > Object > All on Same Layers,Выделение > По типу объектов > Все на этом же слое
Select > Object > Direction Handles,Выделение > По типу объектов > Управляющие манипуляторы
Select > Object > Bristle Brush Strokes,Выделение > По типу объектов > Мазки для кисти из щетины
Select > Object > Brush Strokes,Выделение > По типу объектов > Мазки кисти
Select > Object > Clipping Masks,Выделение > По типу объектов > Обтравочные маски
Select > Object > Stray Points,Выделение > По типу объектов > Изолированные точки
Select > Object > All Text Objects,Выделение > По типу объектов > Все объекты текста
Select > Object > Point Text Objects,Выделение > По типу объектов > Объекты текста из точки
Select > Object > Area Text Objects,Выделение > По типу объектов > Объекты текста в области
Select > Start/Stop Global Edit,Выделение > Начать глобальное изменение
Select > Save Selection...,Выделение > Сохранить выделенную область…
Select > Edit Selection...,Выделение > Редактировать выделенную область…
Effect > Apply Last Effect,Эффект > Применить последний эффект
Effect > Last Effect,Эффект > Последний эффект
Effect > Document Raster Effects Settings...,Эффект > Параметры растровых эффектов в документе...
Effect > 3D and Materials > Extrude & Bevel...,Эффект > 3D и материалы > Вытягивание и фаска...
Effect > 3D and Materials > Revolve...,Эффект > 3D и материалы > Вращение…
Effect > 3D and Materials > Inflate...,Эффект > 3D и материалы > Раздувание…
Effect > 3D and Materials > Rotate...,Эффект > 3D и материалы > Поворот…
Effect > 3D and Materials > Materials...,Эффект > 3D и материалы > Материалы…
Effect > 3D and Materials > 3D (Classic) > Extrude & Bevel (Classic)...,Эффект > 3D (классическое) > Вытягивание и фаска (классический)…
Effect > 3D and Materials > 3D (Classic) > Revolve (Classic)...,Эффект > 3D (классическое) > Вращение (классическое)…
Effect > 3D and Materials > 3D (Classic) > Rotate (Classic)...,Эффект > 3D (классическое) > Поворот (классический)…
Effect > Convert to Shape > Rectangle...,Эффект > Преобразовать в фигуру> Прямоугольник…
Effect > Convert to Shape > Rounded Rectangle...,Эффект > Преобразовать в фигуру> Прямоугольник со скругленными углами…
Effect > Convert to Shape > Ellipse...,Эффект > Преобразовать в фигуру> Эллипс…
Effect > Crop Marks,Эффект > Метки обрезки
Effect > Distort & Transform > Free Distort...,Эффект > Исказить и трансформировать > Произвольное искажение...
Effect > Distort & Transform > Pucker & Bloat...,Эффект > Исказить и трансформировать > Втягивание и раздувание...
Effect > Distort & Transform > Roughen...,Эффект > Исказить и трансформировать > Огрубление...
Effect > Distort & Transform > Transform...,Эффект > Исказить и трансформировать > Трансформировать...
Effect > Distort & Transform > Tweak...,Эффект > Исказить и трансформировать > Помарки...
Effect > Distort & Transform > Twist...,Эффект > Исказить и трансформировать > Скручивание...
Effect > Distort & Transform > Zig Zag...,Эффект > Исказить и трансформировать > Зигзаг...
Effect > Path > Offset Path...,Эффект > Контур > Создать параллельный контур...
Effect > Path > Outline Object,Эффект > Контур > Контурный объект
Effect > Path > Outline Stroke,Эффект > Контур > Преобразовать обводку в кривые
Effect > Pathfinder > Add,Эффект > Обработка контуров > Добавить
Effect > Pathfinder > Intersect,Эффект > Обработка контуров > Пересечение
Effect > Pathfinder > Exclude,Эффект > Обработка контуров > Исключение
Effect > Pathfinder > Subtract,Эффект > Обработка контуров > Вычитание
Effect > Pathfinder > Minus Back,Эффект > Обработка контуров > Минус нижний
Effect > Pathfinder > Divide,Эффект > Обработка контуров > Разделение
Effect > Pathfinder > Trim,Эффект > Обработка контуров > Обрезка
Effect > Pathfinder > Merge,Эффект > Обработка контуров > Объединение
Effect > Pathfinder > Crop,Эффект > Обработка контуров > Кадрировать
Effect > Pathfinder > Outline,Эффект > Обработка контуров > Контур
Effect > Pathfinder > Hard Mix,Эффект > Обработка контуров > Жесткое смешивание
Effect > Pathfinder > Soft Mix...,Эффект > Обработка контуров > Нежесткое смешивание...
Effect > Pathfinder > Trap...,Эффект > Обработка контуров > Треппинг…
Effect > Rasterize...,Эффект > Растрировать...
Effect > Stylize > Drop Shadow...,Эффект > Стилизация > Тень...
Effect > Stylize > Feather...,Эффект > Стилизация > Растушевка...
Effect > Stylize > Inner Glow...,Эффект > Стилизация > Внутреннее свечение...
Effect > Stylize > outer Glow...,Эффект > Стилизация > Внешнее свечение...
Effect > Stylize > Round Corners...,Эффект > Стилизация > Скругленные углы...
Effect > Stylize > Scribble...,Эффект > Стилизация > Каракули…
Effect > SVG Filters > Apply SVG Filter...,Эффект > Фильтры SVG > Применить SVG-фильтр...
Effect > SVG Filters > Import SVG Filter...,Эффект > Фильтры SVG > Импортировать фильтр SVG...
Effect > Warp > Arc...,Эффект > Деформация > Дуга…
Effect > Warp > Arc Lower...,Эффект > Деформация > Дуга вниз…
Effect > Warp > Arc Upper...,Эффект > Деформация > Дуга вверх…
Effect > Warp > Arch...,Эффект > Деформация > Арка…
Effect > Warp > Bulge...,Эффект > Деформация > Выпуклость…
Effect > Warp > Shell Lower...,Эффект > Деформация > Панцирь вниз…
Effect > Warp > Shell Upper...,Эффект > Деформация > Панцирь вверх…
Effect > Warp > Flag...,Эффект > Деформация > Флаг…
Effect > Warp > Wave...,Эффект > Деформация > Волна…
Effect > Warp > Fish...,Эффект > Деформация > Рыба…
Effect > Warp > Rise...,Эффект > Деформация > Подъем…
Effect > Warp > Fisheye...,Эффект > Деформация > Рыбий глаз…
Effect > Warp > Inflate...,Эффект > Деформация > Раздувание…
Effect > Warp > Squeeze...,Эффект > Деформация > Сжатие…
Effect > Warp > Twist...,Эффект > Деформация > Скручивание…
Effect > Effect Gallery...,Эффект > Галерея эффектов…
Effect > Artistic > Colored Pencil...,Эффект > Имитация > Цветные карандаши…
Effect > Artistic > Cutout...,Эффект > Имитация > Аппликация…
Effect > Artistic > Dry Brush...,Эффект > Имитация > Сухая кисть…
Effect > Artistic > Film Grain...,Эффект > Имитация > Зернистость пленки…
Effect > Artistic > Fresco...,Эффект > Имитация > Фреска…
Effect > Artistic > Neon Glow...,Эффект > Имитация > Неоновый свет…
Effect > Artistic > Paint Daubs...,Эффект > Имитация > Масляная живопись…
Effect > Artistic > Palette Knife...,Эффект > Имитация > Шпатель…
Effect > Artistic > Plastic Wrap...,Эффект > Имитация > Целлофановая упаковка…
Effect > Artistic > Poster Edges...,Эффект > Имитация > Очерченные края…
Effect > Artistic > Rough Pastels...,Эффект > Имитация > Пастель…
Effect > Artistic > Smudge Stick...,Эффект > Имитация > Растушевка…
Effect > Artistic > Sponge...,Эффект > Имитация > Губка…
Effect > Artistic > Underpainting...,Эффект > Имитация > Рисование на обороте…
Effect > Artistic > Watercolor...,Эффект > Имитация > Акварель…
Effect > Blur > Gaussian Blur...,Эффект > Размытие > Размытие по Гауссу...
Effect > Blur > Radial Blur...,Эффект > Размытие > Радиальное размытие...
Effect > Blur > Smart Blur...,Эффект > Размытие > Умное размытие...
Effect > Brush Strokes > Accented Edges...,Эффект > Штрихи > Акцент на краях…
Effect > Brush Strokes > Angled Strokes...,Эффект > Штрихи > Наклонные штрихи…
Effect > Brush Strokes > Crosshatch...,Эффект > Штрихи > Перекрестные штрихи…
Effect > Brush Strokes > Dark Strokes...,Эффект > Штрихи > Темные штрихи…
Effect > Brush Strokes > Ink Outlines...,Эффект > Штрихи > Обводка…
Effect > Brush Strokes > Spatter...,Эффект > Штрихи > Разбрызгивание…
Effect > Brush Strokes > Sprayed Strokes...,Эффект > Штрихи > Аэрограф…
Effect > Brush Strokes > Sumi-e...,Эффект > Штрихи > Суми-э…
Effect > Distort > Diffuse Glow...,Эффект > Искажение > Рассеянное свечение…
Effect > Distort > Glass...,Эффект > Искажение > Стекло…
Effect > Distort > Ocean Ripple...,Эффект > Искажение > Океанские волны…
Effect > Pixelate > Color Halftone...,Эффект > Оформление > Цветные полутона…
Effect > Pixelate > Crystallize...,Эффект > Оформление > Кристаллизация…
Effect > Pixelate > Mezzotint...,Эффект > Оформление > Меццо-тинто…
Effect > Pixelate > Pointillize...,Эффект > Оформление > Пуантилизм…
Effect > Sketch > Bas Relief...,Эффект > Эскиз > Рельеф…
Effect > Sketch > Chalk & Charcoal...,Эффект > Эскиз > Мел и уголь…
Effect > Sketch > Charcoal...,Эффект > Эскиз > Уголь…
Effect > Sketch > Chrome...,Эффект > Эскиз > Хром…
Effect > Sketch > Cont\u00E9 Crayon...,Эффект > Эскиз > Волшебный карандаш…
Effect > Sketch > Graphic Pen...,Эффект > Эскиз > Тушь…
Effect > Sketch > Halftone Pattern...,Эффект > Эскиз > Полутоновый узор…
Effect > Sketch > Note Paper...,Эффект > Эскиз > Почтовая бумага…
Effect > Sketch > Photocopy...,Эффект > Эскиз > Ксерокопия…
Effect > Sketch > Plaster...,Эффект > Эскиз > Гипс…
Effect > Sketch > Reticulation...,Эффект > Эскиз > Ретикуляция…
Effect > Sketch > Stamp...,Эффект > Эскиз > Линогравюра…
Effect > Sketch > Torn Edges...,Эффект > Эскиз > Рваные края…
Effect > Sketch > Water Paper...,Эффект > Эскиз > Мокрая бумага…
Effect > Stylize > Glowing Edges...,Эффект > Стилизация > Свечение краев…
Effect > Texture > Craquelure...,Эффект > Текстура > Кракелюры…
Effect > Texture > Grain...,Эффект > Текстура > Зерно…
Effect > Texture > Mosaic Tiles...,Эффект > Текстура > Мозаичные фрагменты…
